name,segment,url,tier,weakness,email,hook,status
Christopher Lowman,brand-menswear,christopherlowman.us,1,Injected spam content — site likely compromised,christopher@christopherlowman.us,NY Men's Day FW26 Ski Trip collection,none
Archie,brand-menswear,archiestore.com,1,Site down — self-signed SSL error,IG DM,Stocked at Colbo/Meridian Vision/88Curate; Substack press,none
Don't Let Disco,brand-jewelry,dontletdisco.com,1,Live placeholder products on store,IG/Substack,2025 CFDA Fashion Fund finalist,none
Monday Blues Studio,brand-menswear,none (IG only),1,No website at all,IG DM,NY Men's Day FW26 debut,none
The Archives & Showroom,showroom-LA,thearchiveshowroom.com,1,Domain 301-redirects to Instagram,contact form,27K IG followers with nowhere to land,none
Sofia Bib PR,pr-nyc,none (IG only),1,No website,IG/LinkedIn,Fashionista Agency Spotlight Sep 2025; 5yr anniversary,none
Sydney on the Scene,pr-nyc,none (IG only),1,No website,sydney@sydneyschiff.com,Fashionista Agency Spotlight Sep 2025,none
Aubero,brand-menswear,aubero.com,2,Squarespace landing page only,studio@aubero.com,Runner-up 2025 CFDA/Vogue Fashion Fund,none
Anthony Brooks Consulting,pr-nyc,abrooksconsulting.com,2,3-page shell site,anthony@abrooksconsulting.com,Menswear specialist; just won Miansai; PR Net Next Gen 2025,none
Peak Lapel,brand-menswear,peaklapelnyc.com,2,~2 products live; no brand story,contact form,NY Men's Day SS26+FW26; Parsons founders,none
Max Esmail,brand-menswear,maxesmail.com,2,Splash page; interior 404s; no contact,IG DM,NY Men's Day FW25 debut,none
Joseph McRae,brand-menswear,josephmcrae.com,2,Portfolio-style Squarespace; 2-3 products,jtm@josephmcrae.com,Fashionista Spring 2026 coverage,none
Clara Son,brand-menswear,clarason.com,2,No products on category pages; footer typo,contact form,DOORS NYC + Wolf & Badger stockists,none
Oxblood Zebra,brand-tailoring,theoxbloodzebra.com,2,No visible products or purchase path,info@theoxbloodzebra.com,NY Men's Day FW25,none
Tenique Bernard Consulting,pr-nyc,teniquebernard.myportfolio.com,2,Free Adobe Portfolio subdomain; placeholders,tenique@teniquebernard.com,Ex-KCD/Ralph Lauren; Fashionista spotlight,none
Regard Style House,showroom-LA,regardstylehouse.com,2,Site 401/inaccessible; IG-primary,info@regardstylehouse.com,Menswear suiting focus,none
Meruert Tolegen,brand-womenswear,meruert-tolegen.com,3,Elementor template bloat; no prices,contact@meruert-tolegen.com,2025 CFDA finalist AND LVMH Prize semifinalist,none
Mel Usine,brand-womenswear,mel-usine.com,3,Sparse site; no on-site e-comm,info@mel-usine.com,WWD Ones to Watch; ex-Proenza founder,none
ASB PR,pr-nyc-la,asb-pragency.com,3,Site is embedded IG feed + newsletter box,hello@asb-pragency.com,WWD US expansion 2025; Mejuri/PatBO,none
Dwarmis,brand-womenswear,dwarmis.com,3,Default Shopify; e-comm lags runway by 2 seasons,customercare@dwarmis.com,NYFW debut Sep 2025; WWD Ones to Watch,none
The Confessional Showroom,showroom-nyc-miami,theconfessionalshowroom.com,3,Wix with default slugs,contact form,Dubai expansion coming,none
Judy Turner,brand-knitwear,judy-turner.com,4,Near-default Shopify,info@judy-turner.com,2022 CFDA grant; verify brand still active (founder at KHAITE),none
Zoe Gustavia Anna Whalen,brand-womenswear,zoegustaviaannawhalen.com,4,Homepage is links only,studio@zoegustaviaannawhalen.com,Zoe Report emerging-NY list,none
Tigra Tigra,brand-womenswear,tigratigra.com,4,No copy; buried contact,info@tigratigra.com,Who What Wear underground brands list,none
Bryan Jimenez,brand-menswear,bryanjimenezny.com,4,Product title typos; no contact info,none,SSENSE/Slam Jam; agency touched site,none
Laraque,brand-womenswear,daniellelaraque.com,4,Content-thin,contact@daniellelaraque.com,Zoe Report emerging-NY list,none
Lindsey Media,pr-nyc,lindsey.media,4,Thin one-pager (may be intentional),info@lindsey.media,Fashionista profiled twice,none
The Ruby Fashion Library,rental-LA,the-ruby.com,4,Dated Squarespace; Gmail business contact,therubyla@gmail.com,30k-item library with no browsable inventory,none
Etcetera Los Angeles,showroom-LA,etceteralosangeles.com,4,Wix landing page only,showroom@etceteralosangeles.com,International brands need US digital line sheet,none
PIPENCO LORENA,brand-womenswear,pipencolorena.com,2,Digital structure thinner than the brand world,info@pipencolorena.com,Emerging NY designer runway/editorial momentum (see lead-scoring-examples.csv),none
MENYELEK / MENY,brand-menswear,menyelek.online,2,"Archive, runway, MTO and commerce not unified",menyelekshow@gmail.com,On official Fall 2026 NYFW schedule,none
Contessa Mills,brand-luxury,contessamills.com,2,Commerce experience generic vs occult/tarot brand concept,info@contessamills.com,Office Magazine press,none
5000,brand-menswear,5000.world,3,Archive/tailoring story underserved; global roadmap needed,sales@5000.world,CFDA recognition + Paul Smith's Foundation London residency,none
Colleen Allen,brand-womenswear,colleenallen.com,3,Site is elegant — pitch a feature (appointments/clienteling) not a redesign,info@colleenallen.com,Wallpaper SS26 interview; retail momentum,none
GRACE GUI,brand-knitwear,gracegui.com,2,Simple Shopify store underselling farm-to-fashion provenance,graceguiknits@gmail.com,Hypebae coverage; sourcing story,none
LEBLANCSTUDIOS,brand-menswear,leblancstudios.com,3,US-market storytelling/navigation/conversion,info@leblancstudios.com,NYFW visibility; expanding international audience,none
Destroyer of Worlds,brand-menswear,destroyerofworlds.online,2,Theatrical brand universe with no digital expression,studio@destroyerofworlds.online,Fashionista Fall 2025 review; NYFW attention,none
Bernard James,brand-jewelry,bernardjames.com,3,Wedge is clienteling/custom-jewelry app not redesign,connect@bernardjames.com,Fashion Trust US jewelry finalist; retail presence,none
AMP3 PR,partner-pr,amp3pr.com,P,n/a — partnership target not site sale,info@amp3pr.com,High-touch emerging-fashion specialist; referral pipeline,none
Agentry PR,partner-pr,agentrypr.com,P,n/a — partnership target,info@agentrypr.com,Erin Hawker founder-led; mirrors no-junior-handoff promise,none
Etagere,partner-pr,none found,P,n/a — partnership target,gregory@etagere-pr.com,Represents Mel Usine and similar emerging labels,none
PURPLE,partner-pr,purplepr.com,P,n/a — partnership target (wait for HAITCH case study),enquiries@purplepr.com,Global luxury portfolio; pitch narrow specialist role,none
RED PR,partner-pr,red-pr.com,P,n/a — partnership target,julia@red-pr.com,Founder-led boutique; fashion/beauty/lifestyle,none
